Timestamp, Aggregate_Active_Power, Estimates
24-Oct-2017 10:40:29, 0.8456, 0.249554, 0.157836
24-Oct-2017 05:59:29, 0, 0, 0
24-Oct-2017 10:51:43, 1.2574, 0.458805, 0.158022
25-Oct-2017 22:00:00, 0, 0, 0
25-Oct-2017 11:58:11, 0.24, 0.118884, 0
24-Oct-2017 14:18:14, 0.24, 0.118884, 0
23-Oct-2017 13:05:57, 0.24, 0.118884, 0
23-Oct-2017 08:05:17, 0, 0, 0
24-Oct-2017 10:49:23, 1.0222, 0.323906, 0.159612
23-Oct-2017 10:44:35, 0.4571, 0.148655, 0.145786
26-Oct-2017 08:45:44, 1.9148, 0, 0.126683
28-Oct-2017 09:04:00, 0, 0, 0
23-Oct-2017 14:39:57, 0.35, 0.132203, 0
23-Oct-2017 14:38:28, 0.619, 0.181801, 0
27-Oct-2017 11:21:02, 0, 0, 0
23-Oct-2017 13:17:35, 0.24, 0.118884, 0
24-Oct-2017 10:41:22, 2.0162, 1.26711, 0.117965
24-Oct-2017 12:25:36, 0.882, 0.263192, 0.158402
24-Oct-2017 10:31:48, 1.9186, 1.12508, 0.126376
28-Oct-2017 10:59:11, 0, 0, 0
24-Oct-2017 14:03:23, 0.2381, 0.118681, 0
24-Oct-2017 11:51:45, 0.8145, 0.238549, 0.157273
24-Oct-2017 14:47:55, 0.24, 0.118884, 0
26-Oct-2017 08:44:16, 1.9483, 0, 0.123925
25-Oct-2017 10:02:53, 0.3271, 0.129159, 0
23-Oct-2017 10:48:45, 1.8694, 1.05821, 0.130231
26-Oct-2017 08:44:00, 1.8177, 0, 0.134008
23-Oct-2017 14:16:53, 0.6748, 0.195952, 0
26-Oct-2017 08:43:48, 1.5816, 0, 0.147801
24-Oct-2017 10:47:45, 1.1102, 0.369217, 0.159562
23-Oct-2017 10:40:12, 2.0028, 1.24686, 0.119181
24-Oct-2017 09:17:03, 0.9578, 0, 0.159249
25-Oct-2017 12:02:39, 0.25, 0.119967, 0
24-Oct-2017 12:57:52, 0.8835, 0.263772, 0.158423
26-Oct-2017 08:36:30, 1.47, 0, 0.152419
24-Oct-2017 19:01:19, 0, 0, 0
24-Oct-2017 09:17:59, 1.2462, 0, 0.158205
27-Oct-2017 11:41:54, 0, 0, 0
24-Oct-2017 10:47:00, 1.0876, 0.357018, 0.159636
24-Oct-2017 13:23:56, 0.8556, 0.253218, 0.158002
25-Oct-2017 12:57:53, 0.24, 0.118884, 0
25-Oct-2017 10:53:44, 0.29, 0.124542, 0
27-Oct-2017 02:15:56, 0, 0, 0
23-Oct-2017 12:15:50, 0.5686, 0.170284, 0.150325
24-Oct-2017 09:15:51, 0.48, 0, 0.146786
24-Oct-2017 10:49:10, 1.035, 0.330136, 0.159644
24-Oct-2017 07:52:01, 0, 0, 0
28-Oct-2017 02:21:38, 0, 0, 0
25-Oct-2017 10:51:24, 0.37, 0.134991, 0
24-Oct-2017 09:15:58, 0.7372, 0, 0.15556
24-Oct-2017 11:50:47, 0.8177, 0.239655, 0.157334
23-Oct-2017 15:16:20, 0.24, 0.118884, 0
27-Oct-2017 00:46:59, 0, 0, 0
25-Oct-2017 12:01:28, 0.24, 0.118884, 0
24-Oct-2017 10:32:16, 1.8312, 1.00842, 0.133048
24-Oct-2017 10:42:22, 0.8481, 0.250464, 0.157878
23-Oct-2017 15:09:07, 0.2353, 0.118383, 0
29-Oct-2017 01:21:12, 0, 0, 0
27-Oct-2017 06:45:32, 0, 0, 0
25-Oct-2017 13:57:48, 0.32, 0.128246, 0
24-Oct-2017 10:50:36, 0.8934, 0.267636, 0.158558
26-Oct-2017 17:55:27, 0, 0, 0
24-Oct-2017 10:39:37, 0.8902, 0.26638, 0.158515
24-Oct-2017 18:17:17, 0, 0, 0
24-Oct-2017 10:33:44, 1.5829, 0.727381, 0.14774
23-Oct-2017 10:40:45, 1.9659, 1.19233, 0.122428
24-Oct-2017 10:34:01, 1.5659, 0.710698, 0.148522
24-Oct-2017 23:11:17, 0, 0, 0
23-Oct-2017 10:40:09, 2.0975, 1.3953, 0.110167
24-Oct-2017 14:22:46, 0.2418, 0.119077, 0
25-Oct-2017 09:20:42, 0.16, 0.110994, 0
23-Oct-2017 23:15:05, 0, 0, 0
26-Oct-2017 11:08:36, 0.33, 0.129536, 0
26-Oct-2017 10:15:05, 0.6227, 0.182693, 0.152223
24-Oct-2017 12:57:01, 0.8601, 0.254887, 0.158074
24-Oct-2017 10:46:28, 1.1242, 0.376974, 0.159495
25-Oct-2017 23:33:10, 0, 0, 0
23-Oct-2017 10:41:29, 1.6571, 0.80391, 0.143995
23-Oct-2017 03:38:52, 0, 0, 0
28-Oct-2017 02:32:27, 0, 0, 0
24-Oct-2017 10:37:30, 1.402, 0.565326, 0.154659
24-Oct-2017 12:07:39, 0.8386, 0.247026, 0.157716
25-Oct-2017 11:54:32, 0.24, 0.118884, 0
26-Oct-2017 08:36:21, 1.578, 0, 0.147968
29-Oct-2017 01:28:40, 0, 0, 0
26-Oct-2017 08:43:31, 1.5161, 0, 0.150655
24-Oct-2017 10:33:47, 1.5881, 0.732546, 0.147495
24-Oct-2017 10:49:47, 1.0522, 0.338698, 0.159666
26-Oct-2017 11:48:33, 0.4779, 0.152316, 0
25-Oct-2017 08:41:51, 0, 0, 0
26-Oct-2017 08:44:38, 2.0586, 0, 0.113989
24-Oct-2017 10:32:47, 1.4919, 0.641657, 0.151606
24-Oct-2017 10:32:38, 1.6968, 0.8474, 0.141768
23-Oct-2017 14:29:35, 0.5843, 0.173748, 0
26-Oct-2017 08:35:54, 1.7768, 0, 0.1368
26-Oct-2017 08:45:23, 2.1114, 0, 0.108761
23-Oct-2017 06:44:15, 0, 0, 0
27-Oct-2017 02:33:33, 0, 0, 0
26-Oct-2017 08:35:19, 2.0346, 0, 0.116264
24-Oct-2017 10:39:32, 0.8346, 0.245595, 0.157645
25-Oct-2017 10:42:48, 0.37, 0.134991, 0
26-Oct-2017 08:45:13, 2.1534, 0, 0.10438
26-Oct-2017 08:36:17, 1.6476, 0, 0.144504
25-Oct-2017 10:31:53, 0.29, 0.124542, 0
26-Oct-2017 09:53:36, 0.4255, 0.143397, 0.144351
23-Oct-2017 10:41:58, 1.253, 0.455862, 0.158095
26-Oct-2017 08:44:17, 1.9872, 0, 0.120572
28-Oct-2017 11:07:21, 0, 0, 0
24-Oct-2017 10:50:49, 0.8208, 0.240731, 0.157393
23-Oct-2017 18:16:59, 0, 0, 0
23-Oct-2017 10:59:55, 0.9286, 0.281892, 0.158976
26-Oct-2017 10:10:28, 0.56, 0.168433, 0.150004
23-Oct-2017 10:17:38, 0.25, 0.119967, 0
23-Oct-2017 09:40:50, 0, 0, 0
26-Oct-2017 11:26:32, 0.3322, 0.129824, 0
28-Oct-2017 15:49:46, 0, 0, 0
23-Oct-2017 10:40:13, 1.989, 1.22625, 0.120413
24-Oct-2017 12:47:07, 0.8647, 0.256607, 0.158145
26-Oct-2017 08:44:11, 1.8272, 0, 0.133335
24-Oct-2017 12:44:01, 0.34, 0.130855, 0.140147
24-Oct-2017 10:37:52, 1.0725, 0.349087, 0.159661
24-Oct-2017 12:09:24, 0.4174, 0.142105, 0.143972
26-Oct-2017 13:59:08, 0, 0, 0
23-Oct-2017 10:41:26, 1.7646, 0.925916, 0.137599
23-Oct-2017 02:39:05, 0, 0, 0
26-Oct-2017 08:44:19, 2.0651, 0, 0.113362
23-Oct-2017 17:43:04, 0, 0, 0
24-Oct-2017 10:41:10, 1.5663, 0.711087, 0.148504
24-Oct-2017 10:33:40, 1.6192, 0.764058, 0.145975
23-Oct-2017 05:05:17, 0, 0, 0
24-Oct-2017 10:48:52, 1.0607, 0.34301, 0.159668
24-Oct-2017 10:41:09, 1.549, 0.694422, 0.149273
26-Oct-2017 08:36:47, 1.3583, 0, 0.155874
25-Oct-2017 17:34:39, 0, 0, 0
23-Oct-2017 11:46:01, 0.9171, 0.277145, 0.15885
26-Oct-2017 08:44:14, 1.8853, 0, 0.129013
24-Oct-2017 10:48:51, 1.0588, 0.342041, 0.159669
27-Oct-2017 09:39:15, 0, 0, 0
24-Oct-2017 10:41:19, 1.7899, 0.956618, 0.135924
23-Oct-2017 13:44:50, 0.24, 0.118884, 0
26-Oct-2017 18:10:58, 0, 0, 0
26-Oct-2017 08:45:34, 2.0865, 0, 0.111265
24-Oct-2017 10:49:36, 0.9737, 0.301373, 0.15937
27-Oct-2017 10:29:56, 0, 0, 0
24-Oct-2017 10:33:10, 1.8637, 1.05067, 0.130661
24-Oct-2017 02:00:27, 0, 0, 0
24-Oct-2017 10:40:57, 1.3509, 0.525465, 0.156062
23-Oct-2017 12:19:28, 0.5541, 0.167181, 0.149782
24-Oct-2017 13:45:53, 0.25, 0.119967, 0
28-Oct-2017 06:33:04, 0, 0, 0
25-Oct-2017 12:33:51, 0.24, 0.118884, 0
26-Oct-2017 08:45:07, 2.1679, 0, 0.102821
24-Oct-2017 10:33:53, 1.58, 0.724513, 0.147875
26-Oct-2017 01:14:26, 0, 0, 0
24-Oct-2017 13:16:30, 0.5367, 0.163577, 0.149111
25-Oct-2017 19:09:03, 0, 0, 0
24-Oct-2017 10:32:36, 1.6741, 0.822312, 0.14306
23-Oct-2017 14:57:16, 0.23, 0.117824, 0
24-Oct-2017 10:38:55, 1.0933, 0.360057, 0.159621
23-Oct-2017 14:19:59, 0.6278, 0.183932, 0
23-Oct-2017 12:43:48, 0.23, 0.117824, 0
24-Oct-2017 10:55:54, 0.8323, 0.244776, 0.157604
29-Oct-2017 01:01:45, 0, 0, 0
25-Oct-2017 05:39:46, 0, 0, 0
24-Oct-2017 13:15:18, 0.8396, 0.247385, 0.157733
26-Oct-2017 11:15:38, 0.3261, 0.12903, 0
23-Oct-2017 17:47:59, 0, 0, 0
23-Oct-2017 10:50:26, 1.5901, 0.734541, 0.1474
23-Oct-2017 11:00:23, 0.84, 0.247529, 0.15774
23-Oct-2017 11:51:13, 0.4568, 0.148603, 0.145773
26-Oct-2017 08:44:10, 1.8078, 0, 0.134699
24-Oct-2017 15:31:53, 0.31, 0.126984, 0
26-Oct-2017 08:46:06, 0.8718, 0, 0.158253
26-Oct-2017 11:06:21, 0.4707, 0.15103, 0
25-Oct-2017 17:03:25, 0, 0, 0
27-Oct-2017 10:17:37, 0, 0, 0
23-Oct-2017 12:48:31, 0.24, 0.118884, 0
26-Oct-2017 09:51:08, 0.568, 0.170154, 0.150302
24-Oct-2017 10:55:55, 0.8268, 0.242832, 0.157504
23-Oct-2017 10:40:08, 2.1464, 1.47687, 0.105124
27-Oct-2017 05:24:16, 0, 0, 0
24-Oct-2017 10:32:29, 1.72, 0.873658, 0.140394
26-Oct-2017 08:43:53, 1.6977, 0, 0.141715
26-Oct-2017 08:32:43, 1.8547, 0, 0.131333
23-Oct-2017 13:57:01, 0.26, 0.121073, 0
23-Oct-2017 08:09:58, 0, 0, 0
26-Oct-2017 08:37:07, 1.0278, 0, 0.159628
25-Oct-2017 15:25:20, 0, 0, 0
28-Oct-2017 03:33:46, 0, 0, 0
26-Oct-2017 10:45:18, 0.4766, 0.152082, 0
24-Oct-2017 13:53:54, 0.25, 0.119967, 0
24-Oct-2017 10:49:55, 1.0376, 0.331416, 0.159649
23-Oct-2017 10:41:27, 1.7315, 0.886907, 0.139692
24-Oct-2017 10:52:27, 0.4022, 0.139743, 0.143251
26-Oct-2017 05:14:14, 0, 0, 0
23-Oct-2017 14:28:17, 0.5678, 0.170111, 0
25-Oct-2017 13:19:18, 0.31, 0.126984, 0
23-Oct-2017 10:41:11, 1.9558, 1.17772, 0.123291
24-Oct-2017 10:31:09, 1.7096, 0.86181, 0.141016
23-Oct-2017 11:00:48, 0.8782, 0.261729, 0.158347
23-Oct-2017 10:29:26, 0.33, 0.129536, 0
24-Oct-2017 10:34:58, 1.44, 0.596607, 0.15346
26-Oct-2017 08:32:40, 1.5445, 0, 0.149468
24-Oct-2017 10:32:08, 0.6089, 0.1794, 0.151758
24-Oct-2017 11:14:49, 0.8358, 0.246023, 0.157667
23-Oct-2017 10:48:56, 2.0793, 1.3658, 0.111976
24-Oct-2017 12:36:55, 0.8858, 0.264664, 0.158455
24-Oct-2017 12:06:45, 0.8373, 0.24656, 0.157693
26-Oct-2017 08:36:04, 1.6073, 0, 0.146568
24-Oct-2017 13:23:39, 0.893, 0.267479, 0.158552
23-Oct-2017 10:41:31, 1.5532, 0.698438, 0.149089
27-Oct-2017 11:18:49, 0, 0, 0
26-Oct-2017 08:35:29, 1.7856, 0, 0.136214
26-Oct-2017 12:17:05, 0.32, 0.128246, 0
24-Oct-2017 12:48:04, 0.8724, 0.259514, 0.158262
24-Oct-2017 13:14:33, 0.8441, 0.24901, 0.157811
26-Oct-2017 11:20:01, 0.4634, 0.149747, 0
24-Oct-2017 11:13:31, 0.8125, 0.237861, 0.157234
25-Oct-2017 12:44:00, 0.24, 0.118884, 0
25-Oct-2017 10:43:25, 0.3086, 0.12681, 0
24-Oct-2017 10:31:46, 1.7319, 0.887371, 0.139668
23-Oct-2017 14:14:33, 0.33, 0.129536, 0
23-Oct-2017 10:47:30, 0.8711, 0.259021, 0.158243
24-Oct-2017 10:34:29, 1.4976, 0.646772, 0.151387
26-Oct-2017 08:35:21, 1.9818, 0, 0.121047
24-Oct-2017 10:51:27, 1.0115, 0.31879, 0.159575
24-Oct-2017 10:31:25, 1.1759, 0.406982, 0.159104
24-Oct-2017 13:23:40, 0.8456, 0.249554, 0.157836
24-Oct-2017 10:32:20, 1.72, 0.873658, 0.140394
28-Oct-2017 19:32:10, 0, 0, 0
26-Oct-2017 08:35:52, 1.8513, 0, 0.131585
23-Oct-2017 10:48:40, 1.8097, 0.981189, 0.134568
24-Oct-2017 13:20:35, 0.4142, 0.141602, 0.143822
24-Oct-2017 10:47:35, 1.0106, 0.318364, 0.159571
23-Oct-2017 10:49:14, 2.1426, 1.47041, 0.105525
23-Oct-2017 10:50:41, 1.1491, 0.391157, 0.159335
24-Oct-2017 10:48:19, 0.9714, 0.300345, 0.159353
24-Oct-2017 12:33:22, 0.8837, 0.26385, 0.158425
24-Oct-2017 08:51:13, 0, 0, 0
23-Oct-2017 10:41:28, 1.6985, 0.849303, 0.141669
27-Oct-2017 18:12:11, 0, 0, 0
26-Oct-2017 10:07:27, 0.507, 0.157716, 0.14792
24-Oct-2017 10:32:39, 1.7077, 0.859659, 0.141129
24-Oct-2017 14:00:51, 0.24, 0.118884, 0
28-Oct-2017 23:07:44, 0, 0, 0
24-Oct-2017 12:08:22, 0.8135, 0.238205, 0.157254
24-Oct-2017 10:23:18, 2.1237, 1.43858, 0.107499
26-Oct-2017 23:39:26, 0, 0, 0
23-Oct-2017 13:55:24, 0.24, 0.118884, 0
26-Oct-2017 08:44:50, 2.1258, 0, 0.107281
24-Oct-2017 12:55:37, 0.8485, 0.25061, 0.157885
24-Oct-2017 10:33:22, 1.8918, 1.08827, 0.128508
25-Oct-2017 12:40:55, 0.24, 0.118884, 0
24-Oct-2017 12:57:23, 0.8454, 0.249481, 0.157833
23-Oct-2017 13:54:25, 0.24, 0.118884, 0
24-Oct-2017 10:34:11, 1.5448, 0.690424, 0.149455
24-Oct-2017 10:50:51, 0.8135, 0.238205, 0.157254
23-Oct-2017 10:41:19, 1.815, 0.987848, 0.134197
23-Oct-2017 11:02:05, 1.232, 0.442045, 0.158421
27-Oct-2017 23:58:12, 0, 0, 0
26-Oct-2017 08:36:53, 1.2482, 0, 0.158173
26-Oct-2017 20:47:53, 0, 0, 0
25-Oct-2017 13:13:55, 0.24, 0.118884, 0
26-Oct-2017 11:26:44, 0.3562, 0.133054, 0
27-Oct-2017 08:31:59, 0, 0, 0
24-Oct-2017 10:32:42, 1.6169, 0.761691, 0.14609
24-Oct-2017 10:33:57, 1.58, 0.724513, 0.147875
26-Oct-2017 08:45:48, 1.5219, 0, 0.150419
26-Oct-2017 08:36:20, 1.5872, 0, 0.147537
24-Oct-2017 13:06:22, 0.8677, 0.257735, 0.158192
23-Oct-2017 10:48:30, 1.696, 0.846506, 0.141814
25-Oct-2017 09:20:18, 0.16, 0.110994, 0
27-Oct-2017 05:14:49, 0, 0, 0
23-Oct-2017 10:23:11, 0.33, 0.129536, 0
23-Oct-2017 10:50:20, 2.1575, 1.49587, 0.103942
23-Oct-2017 11:01:35, 0.97, 0.299722, 0.159343
23-Oct-2017 10:40:22, 2.0145, 1.26453, 0.118121
26-Oct-2017 12:58:56, 0, 0, 0
24-Oct-2017 13:06:58, 0.8758, 0.26081, 0.158312
26-Oct-2017 07:51:17, 0, 0, 0
25-Oct-2017 08:03:49, 0, 0, 0
24-Oct-2017 10:37:47, 1.1457, 0.389191, 0.15936
24-Oct-2017 21:42:06, 0, 0, 0
23-Oct-2017 15:27:26, 0.2382, 0.118691, 0
24-Oct-2017 19:12:17, 0, 0, 0
24-Oct-2017 15:54:25, 0.23, 0.117824, 0
24-Oct-2017 12:09:10, 0.4176, 0.142137, 0.143982
28-Oct-2017 23:34:16, 0, 0, 0
26-Oct-2017 10:25:33, 0.42, 0.142517, 0.144094
23-Oct-2017 10:41:05, 1.919, 1.12564, 0.126344
26-Oct-2017 10:54:52, 0.579, 0.172566, 0
26-Oct-2017 08:35:47, 1.7428, 0, 0.13899
26-Oct-2017 03:02:12, 0, 0, 0
23-Oct-2017 10:40:39, 1.9407, 1.15614, 0.124561
27-Oct-2017 16:13:48, 0, 0, 0
24-Oct-2017 12:33:31, 0.872, 0.259362, 0.158256
23-Oct-2017 22:25:05, 0, 0, 0
24-Oct-2017 11:49:47, 0.844, 0.248973, 0.157809
24-Oct-2017 10:36:18, 1.3311, 0.510682, 0.156542
26-Oct-2017 12:03:47, 0.33, 0.129536, 0
24-Oct-2017 10:37:37, 1.2129, 0.429808, 0.158684
24-Oct-2017 10:34:53, 1.44, 0.596607, 0.15346
24-Oct-2017 10:38:48, 0.9758, 0.302314, 0.159384
24-Oct-2017 10:32:26, 1.72, 0.873658, 0.140394
23-Oct-2017 11:01:47, 0.9405, 0.286898, 0.159095
26-Oct-2017 13:21:12, 0, 0, 0
23-Oct-2017 10:40:38, 1.9549, 1.17643, 0.123368
24-Oct-2017 10:33:56, 1.58, 0.724513, 0.147875
24-Oct-2017 13:23:19, 0.859, 0.254478, 0.158056
24-Oct-2017 10:36:39, 1.3415, 0.518401, 0.156295
27-Oct-2017 18:10:43, 0, 0, 0
25-Oct-2017 13:46:59, 0.3039, 0.126228, 0
28-Oct-2017 07:26:12, 0, 0, 0
28-Oct-2017 21:28:35, 0, 0, 0
24-Oct-2017 12:56:51, 0.9057, 0.272525, 0.158715
23-Oct-2017 13:36:04, 0.24, 0.118884, 0
24-Oct-2017 09:18:10, 1.1709, 0, 0.159151
24-Oct-2017 14:31:32, 0.2344, 0.118287, 0
23-Oct-2017 10:42:09, 1.1491, 0.391157, 0.159335
25-Oct-2017 12:50:15, 0.24, 0.118884, 0
23-Oct-2017 10:41:14, 1.9062, 1.10794, 0.127372
26-Oct-2017 08:56:42, 0.6414, 0, 0.152831
24-Oct-2017 03:01:11, 0, 0, 0
24-Oct-2017 14:10:24, 0.25, 0.119967, 0
24-Oct-2017 10:41:02, 1.3627, 0.534449, 0.155759
23-Oct-2017 10:41:39, 1.5537, 0.698918, 0.149067
24-Oct-2017 12:08:55, 0.871, 0.258983, 0.158241
23-Oct-2017 10:48:58, 2.0927, 1.38747, 0.110648
23-Oct-2017 13:37:43, 0.2335, 0.118192, 0
26-Oct-2017 08:45:41, 2.0579, 0, 0.114057
25-Oct-2017 22:40:05, 0, 0, 0
28-Oct-2017 13:51:06, 0, 0, 0
23-Oct-2017 20:44:02, 0, 0, 0
28-Oct-2017 14:45:36, 0, 0, 0
25-Oct-2017 08:39:35, 0, 0, 0
24-Oct-2017 10:32:27, 1.72, 0.873658, 0.140394
24-Oct-2017 12:16:47, 0.9061, 0.272686, 0.15872
26-Oct-2017 20:29:05, 0, 0, 0
27-Oct-2017 16:16:56, 0, 0, 0
23-Oct-2017 14:24:02, 0.7084, 0.205228, 0
24-Oct-2017 10:55:39, 0.8339, 0.245345, 0.157633
23-Oct-2017 14:27:48, 0.4243, 0.143204, 0
27-Oct-2017 23:47:13, 0, 0, 0
23-Oct-2017 09:36:06, 0, 0, 0
29-Oct-2017 01:07:00, 0, 0, 0
26-Oct-2017 08:44:31, 2.0171, 0, 0.117883
26-Oct-2017 06:26:43, 0, 0, 0
23-Oct-2017 10:47:58, 1.3707, 0.540615, 0.155547
26-Oct-2017 08:35:10, 2.144, 0, 0.105378
23-Oct-2017 04:36:13, 0, 0, 0
26-Oct-2017 08:44:37, 2.0579, 0, 0.114057
24-Oct-2017 10:34:19, 1.5205, 0.667659, 0.150476
24-Oct-2017 10:47:27, 1.1893, 0.415116, 0.158965
26-Oct-2017 08:35:30, 1.7364, 0, 0.13939
28-Oct-2017 11:15:28, 0, 0, 0
27-Oct-2017 13:03:54, 0, 0, 0
23-Oct-2017 14:31:03, 0.3134, 0.12741, 0
26-Oct-2017 08:35:48, 1.78, 0, 0.136588
24-Oct-2017 10:35:55, 1.3165, 0.500014, 0.156874
23-Oct-2017 10:41:34, 1.3973, 0.561556, 0.154798
27-Oct-2017 07:37:39, 0, 0, 0
27-Oct-2017 15:35:04, 0, 0, 0
24-Oct-2017 10:33:32, 2.1165, 1.42659, 0.10824
24-Oct-2017 12:33:19, 0.8957, 0.268543, 0.158588
26-Oct-2017 12:09:59, 0.5636, 0.169204, 0
26-Oct-2017 11:24:53, 0.6015, 0.17767, 0
25-Oct-2017 11:55:16, 0.25, 0.119967, 0
26-Oct-2017 08:43:01, 1.0108, 0, 0.159572
23-Oct-2017 10:40:35, 2.0269, 1.28346, 0.116981
27-Oct-2017 00:18:24, 0, 0, 0
24-Oct-2017 10:34:06, 1.56, 0.704981, 0.148787
24-Oct-2017 10:31:08, 2.1546, 1.49089, 0.104252
23-Oct-2017 10:48:27, 1.6984, 0.849191, 0.141675
25-Oct-2017 04:36:07, 0, 0, 0
23-Oct-2017 14:14:02, 0.31, 0.126984, 0
24-Oct-2017 11:36:30, 0.41, 0.140946, 0.143623
24-Oct-2017 09:18:05, 1.1714, 0, 0.159147
24-Oct-2017 10:49:58, 0.9741, 0.301552, 0.159372
24-Oct-2017 04:11:25, 0, 0, 0
23-Oct-2017 06:18:53, 0, 0, 0
28-Oct-2017 17:38:48, 0, 0, 0
24-Oct-2017 13:14:02, 0.8899, 0.266263, 0.158511
24-Oct-2017 10:31:04, 1.7721, 0.934936, 0.13711
24-Oct-2017 15:41:43, 0.31, 0.126984, 0
26-Oct-2017 08:45:40, 2.1056, 0, 0.10935
27-Oct-2017 03:26:11, 0, 0, 0
24-Oct-2017 19:29:38, 0, 0, 0
24-Oct-2017 10:39:18, 0.9766, 0.302673, 0.159389
25-Oct-2017 13:52:09, 0.3479, 0.131918, 0
24-Oct-2017 06:30:50, 0, 0, 0
24-Oct-2017 10:41:17, 1.6037, 0.74822, 0.146744
25-Oct-2017 12:53:53, 0.24, 0.118884, 0
23-Oct-2017 10:42:03, 1.2469, 0.451809, 0.158194
27-Oct-2017 19:32:11, 0, 0, 0
24-Oct-2017 16:06:34, 0.16, 0.110994, 0
27-Oct-2017 15:30:12, 0, 0, 0
24-Oct-2017 11:06:23, 0.82, 0.240453, 0.157378
25-Oct-2017 20:44:53, 0, 0, 0
23-Oct-2017 12:43:27, 0.23, 0.117824, 0
23-Oct-2017 10:29:47, 0.33, 0.129536, 0
25-Oct-2017 13:10:40, 0.24, 0.118884, 0
26-Oct-2017 08:44:07, 1.8125, 0, 0.134372
24-Oct-2017 13:24:50, 0.7757, 0.225626, 0.156468
28-Oct-2017 12:12:28, 0, 0, 0
24-Oct-2017 09:17:06, 0.99, 0, 0.159472
24-Oct-2017 09:17:47, 1.1657, 0, 0.159199
26-Oct-2017 00:35:58, 0, 0, 0
24-Oct-2017 10:34:12, 1.5394, 0.685311, 0.149687
24-Oct-2017 14:01:53, 0.2388, 0.118755, 0
23-Oct-2017 10:42:21, 0.8659, 0.257057, 0.158164
23-Oct-2017 11:57:39, 0.6374, 0.1863, 0.152703
23-Oct-2017 12:51:15, 0.24, 0.118884, 0
23-Oct-2017 10:40:18, 1.9758, 1.20678, 0.121571
24-Oct-2017 10:33:00, 1.5556, 0.700742, 0.148983
25-Oct-2017 05:33:38, 0, 0, 0
23-Oct-2017 11:02:56, 2.1329, 1.45401, 0.106543
26-Oct-2017 00:26:20, 0, 0, 0
24-Oct-2017 09:19:00, 0.8257, 0, 0.157484
26-Oct-2017 23:56:36, 0, 0, 0
28-Oct-2017 22:09:52, 0, 0, 0
23-Oct-2017 10:48:15, 1.56, 0.704981, 0.148787
23-Oct-2017 10:48:28, 1.6948, 0.845166, 0.141884
24-Oct-2017 09:18:46, 0.9406, 0, 0.159096
23-Oct-2017 11:02:40, 1.1569, 0.395702, 0.159274
25-Oct-2017 00:58:58, 0, 0, 0
25-Oct-2017 10:37:27, 0.29, 0.124542, 0
23-Oct-2017 17:59:14, 0, 0, 0
24-Oct-2017 10:33:50, 1.5828, 0.727282, 0.147744
23-Oct-2017 15:32:12, 0.24, 0.118884, 0
24-Oct-2017 12:19:08, 0.8073, 0.236084, 0.157132
26-Oct-2017 11:22:33, 0.5135, 0.158968, 0
