# Bin Center, Frequency Count, Left Edges, Right Edges
4.285584993975903490e+04,1.105000000000000000e+03,4.182652638554217265e+04,4.388517349397590442e+04
4.491449704819277395e+04,1.157000000000000000e+03,4.388517349397590442e+04,4.594382060240963619e+04
4.697314415662650572e+04,1.233000000000000000e+03,4.594382060240963619e+04,4.800246771084337524e+04
4.903179126506023749e+04,1.180000000000000000e+03,4.800246771084337524e+04,5.006111481927710702e+04
5.109043837349397654e+04,1.265000000000000000e+03,5.006111481927710702e+04,5.211976192771084607e+04
5.314908548192771559e+04,1.513000000000000000e+03,5.211976192771084607e+04,5.417840903614457784e+04
5.520773259036144736e+04,2.473000000000000000e+03,5.417840903614457784e+04,5.623705614457831689e+04
5.726637969879517914e+04,4.306000000000000000e+03,5.623705614457831689e+04,5.829570325301204866e+04
5.932502680722891819e+04,5.693000000000000000e+03,5.829570325301204866e+04,6.035435036144578771e+04
6.138367391566265724e+04,5.189000000000000000e+03,6.035435036144578771e+04,6.241299746987951949e+04
6.344232102409638901e+04,4.608000000000000000e+03,6.241299746987951949e+04,6.447164457831325853e+04
6.550096813253012078e+04,4.395000000000000000e+03,6.447164457831325853e+04,6.653029168674697576e+04
6.755961524096384528e+04,5.228000000000000000e+03,6.653029168674697576e+04,6.858893879518071481e+04
6.961826234939758433e+04,7.651000000000000000e+03,6.858893879518071481e+04,7.064758590361445385e+04
7.167690945783132338e+04,8.787000000000000000e+03,7.064758590361445385e+04,7.270623301204819290e+04
7.373555656626506243e+04,7.550000000000000000e+03,7.270623301204819290e+04,7.476488012048191740e+04
7.579420367469878693e+04,7.294000000000000000e+03,7.476488012048191740e+04,7.682352722891565645e+04
7.785285078313252598e+04,1.123700000000000000e+04,7.682352722891565645e+04,7.888217433734939550e+04
7.991149789156625047e+04,2.780700000000000000e+04,7.888217433734939550e+04,8.094082144578312000e+04
8.197014499999998952e+04,7.125700000000000000e+04,8.094082144578312000e+04,8.299946855421685905e+04
8.402879210843372857e+04,9.506500000000000000e+04,8.299946855421685905e+04,8.505811566265059810e+04
8.608743921686746762e+04,4.759200000000000000e+04,8.505811566265059810e+04,8.711676277108433715e+04
8.814608632530120667e+04,9.353000000000000000e+03,8.711676277108433715e+04,8.917540987951806164e+04
9.020473343373493117e+04,1.100000000000000000e+03,8.917540987951806164e+04,9.123405698795180069e+04
9.226338054216867022e+04,1.880000000000000000e+02,9.123405698795180069e+04,9.329270409638553974e+04
9.432202765060239471e+04,8.800000000000000000e+01,9.329270409638553974e+04,9.535135120481926424e+04
9.638067475903613376e+04,5.100000000000000000e+01,9.535135120481926424e+04,9.740999831325300329e+04
9.843932186746987281e+04,3.600000000000000000e+01,9.740999831325300329e+04,9.946864542168674234e+04
1.004979689759036119e+05,1.200000000000000000e+01,9.946864542168674234e+04,1.015272925301204814e+05
1.025566160843373509e+05,1.800000000000000000e+01,1.015272925301204814e+05,1.035859396385542059e+05
1.046152631927710754e+05,1.800000000000000000e+01,1.035859396385542059e+05,1.056445867469879449e+05
1.066739103012048145e+05,8.000000000000000000e+00,1.056445867469879449e+05,1.077032338554216840e+05
1.087325574096385535e+05,8.000000000000000000e+00,1.077032338554216840e+05,1.097618809638554230e+05
1.107912045180722780e+05,8.000000000000000000e+00,1.097618809638554230e+05,1.118205280722891475e+05
1.128498516265060171e+05,1.100000000000000000e+01,1.118205280722891475e+05,1.138791751807228866e+05
1.149084987349397561e+05,9.000000000000000000e+00,1.138791751807228866e+05,1.159378222891566256e+05
1.169671458433734952e+05,7.000000000000000000e+00,1.159378222891566256e+05,1.179964693975903501e+05
1.190257929518072197e+05,1.900000000000000000e+01,1.179964693975903501e+05,1.200551165060240892e+05
1.210844400602409587e+05,8.000000000000000000e+00,1.200551165060240892e+05,1.221137636144578282e+05
1.231430871686746978e+05,9.000000000000000000e+00,1.221137636144578282e+05,1.241724107228915673e+05
1.252017342771084222e+05,4.000000000000000000e+00,1.241724107228915673e+05,1.262310578313252918e+05
1.272603813855421613e+05,8.000000000000000000e+00,1.262310578313252918e+05,1.282897049397590308e+05
1.293190284939759003e+05,1.300000000000000000e+01,1.282897049397590308e+05,1.303483520481927699e+05
1.313776756024096394e+05,5.000000000000000000e+00,1.303483520481927699e+05,1.324069991566265235e+05
1.334363227108434075e+05,3.000000000000000000e+00,1.324069991566265235e+05,1.344656462650602625e+05
1.354949698192771175e+05,5.000000000000000000e+00,1.344656462650602625e+05,1.365242933734939725e+05
1.375536169277108274e+05,5.000000000000000000e+00,1.365242933734939725e+05,1.385829404819277115e+05
1.396122640361445956e+05,2.000000000000000000e+00,1.385829404819277115e+05,1.406415875903614506e+05
1.416709111445783055e+05,3.000000000000000000e+00,1.406415875903614506e+05,1.427002346987951896e+05
1.437295582530120737e+05,2.000000000000000000e+00,1.427002346987951896e+05,1.447588818072289287e+05
1.457882053614457836e+05,1.000000000000000000e+00,1.447588818072289287e+05,1.468175289156626677e+05
1.478468524698795518e+05,1.000000000000000000e+00,1.468175289156626677e+05,1.488761760240964068e+05
1.499054995783132617e+05,2.000000000000000000e+00,1.488761760240964068e+05,1.509348231325301167e+05
1.519641466867469717e+05,2.000000000000000000e+00,1.509348231325301167e+05,1.529934702409638558e+05
1.540227937951807398e+05,0.000000000000000000e+00,1.529934702409638558e+05,1.550521173493975948e+05
1.560814409036144498e+05,0.000000000000000000e+00,1.550521173493975948e+05,1.571107644578313339e+05
1.581400880120482179e+05,1.000000000000000000e+00,1.571107644578313339e+05,1.591694115662650729e+05
1.601987351204819279e+05,0.000000000000000000e+00,1.591694115662650729e+05,1.612280586746988120e+05
1.622573822289156960e+05,0.000000000000000000e+00,1.612280586746988120e+05,1.632867057831325510e+05
1.643160293373494060e+05,1.000000000000000000e+00,1.632867057831325510e+05,1.653453528915662610e+05
1.663746764457831159e+05,2.000000000000000000e+00,1.653453528915662610e+05,1.674040000000000000e+05
