# Bin Center, Frequency Count, Left Edges, Right Edges
2.559110007575757481e+04,1.687000000000000000e+03,2.499156272727272517e+04,2.619063742424242082e+04
2.679017477272726683e+04,1.953000000000000000e+03,2.619063742424242082e+04,2.738971212121211647e+04
2.798924946969696612e+04,2.406000000000000000e+03,2.738971212121211647e+04,2.858878681818181212e+04
2.918832416666665813e+04,2.664000000000000000e+03,2.858878681818181212e+04,2.978786151515150777e+04
3.038739886363635742e+04,3.015000000000000000e+03,2.978786151515150777e+04,3.098693621212120706e+04
3.158647356060605671e+04,3.813000000000000000e+03,3.098693621212120706e+04,3.218601090909090635e+04
3.278554825757574872e+04,4.347000000000000000e+03,3.218601090909090635e+04,3.338508560606059473e+04
3.398462295454544073e+04,4.618000000000000000e+03,3.338508560606059473e+04,3.458416030303029402e+04
3.518369765151514730e+04,4.789000000000000000e+03,3.458416030303029402e+04,3.578323499999999331e+04
3.638277234848483931e+04,5.271000000000000000e+03,3.578323499999999331e+04,3.698230969696968532e+04
3.758184704545453133e+04,5.694000000000000000e+03,3.698230969696968532e+04,3.818138439393938461e+04
3.878092174242423789e+04,5.834000000000000000e+03,3.818138439393938461e+04,3.938045909090908390e+04
3.997999643939392990e+04,5.837000000000000000e+03,3.938045909090908390e+04,4.057953378787877591e+04
4.117907113636362192e+04,5.678000000000000000e+03,4.057953378787877591e+04,4.177860848484847520e+04
4.237814583333332848e+04,5.671000000000000000e+03,4.177860848484847520e+04,4.297768318181817449e+04
4.357722053030302050e+04,5.114000000000000000e+03,4.297768318181817449e+04,4.417675787878786650e+04
4.477629522727271251e+04,4.763000000000000000e+03,4.417675787878786650e+04,4.537583257575756579e+04
4.597536992424241907e+04,4.442000000000000000e+03,4.537583257575756579e+04,4.657490727272726508e+04
4.717444462121211109e+04,4.309000000000000000e+03,4.657490727272726508e+04,4.777398196969695709e+04
4.837351931818180310e+04,4.420000000000000000e+03,4.777398196969695709e+04,4.897305666666665638e+04
4.957259401515150967e+04,4.885000000000000000e+03,4.897305666666665638e+04,5.017213136363635567e+04
5.077166871212120168e+04,6.725000000000000000e+03,5.017213136363635567e+04,5.137120606060604769e+04
5.197074340909089369e+04,1.577000000000000000e+04,5.137120606060604769e+04,5.257028075757574697e+04
5.316981810606060026e+04,3.285100000000000000e+04,5.257028075757574697e+04,5.376935545454544626e+04
5.436889280303029227e+04,3.629100000000000000e+04,5.376935545454544626e+04,5.496843015151513828e+04
5.556796749999998428e+04,2.943900000000000000e+04,5.496843015151513828e+04,5.616750484848483757e+04
5.676704219696968357e+04,1.718200000000000000e+04,5.616750484848483757e+04,5.736657954545452958e+04
5.796611689393938286e+04,5.655000000000000000e+03,5.736657954545452958e+04,5.856565424242422887e+04
5.916519159090907488e+04,2.164000000000000000e+03,5.856565424242422887e+04,5.976472893939392816e+04
6.036426628787877416e+04,1.177000000000000000e+03,5.976472893939392816e+04,6.096380363636362017e+04
6.156334098484847345e+04,7.350000000000000000e+02,6.096380363636362017e+04,6.216287833333331946e+04
6.276241568181816547e+04,4.890000000000000000e+02,6.216287833333331946e+04,6.336195303030301147e+04
6.396149037878786476e+04,3.350000000000000000e+02,6.336195303030301147e+04,6.456102772727271804e+04
6.516056507575756405e+04,2.470000000000000000e+02,6.456102772727271804e+04,6.576010242424241733e+04
6.635963977272727061e+04,1.500000000000000000e+02,6.576010242424241733e+04,6.695917712121210934e+04
6.755871446969696262e+04,1.110000000000000000e+02,6.695917712121210934e+04,6.815825181818181591e+04
6.875778916666665464e+04,5.700000000000000000e+01,6.815825181818181591e+04,6.935732651515150792e+04
6.995686386363636120e+04,3.500000000000000000e+01,6.935732651515150792e+04,7.055640121212119993e+04
7.115593856060605322e+04,2.900000000000000000e+01,7.055640121212119993e+04,7.175547590909090650e+04
7.235501325757574523e+04,1.500000000000000000e+01,7.175547590909090650e+04,7.295455060606059851e+04
7.355408795454545179e+04,5.000000000000000000e+00,7.295455060606059851e+04,7.415362530303029052e+04
7.475316265151514381e+04,3.000000000000000000e+00,7.415362530303029052e+04,7.535269999999999709e+04
